LATITUDE,LONGITUDE,DATE,TIME
40.767373,-73.950057,04/16/2016,4:13
40.86267,-73.909039,04/16/2016,4:30
40.716507,-73.961275,04/16/2016,4:30
40.749788,-73.987768,04/16/2016,4:30
40.702401,73.960496,04/16/2016,4:50
